,label,text,words
96,0,hilarious musical comedy though stymied by accents thick as mud . ,11
97,1,speaks eloquently about the symbiotic relationship between art and life . ,11
98,1,this is a very fine movie -- go see it . ,11
99,0,strangely comes off as a kingdom more mild than wild . ,11
100,1,buy popcorn . take nothing seriously and enjoy the ride . ,11
101,1,the movie stays afloat thanks to its hallucinatory production design . ,11
102,1,a model of what films like this should be like . ,11
103,0,a nearly 21/2 hours  the film is way too indulgent . ,11
104,0,a tired  unimaginative and derivative variation of that already-shallow genre . ,11
105,1,you watch for that sense of openness  the little surprises . ,11
106,0,plays like a volatile and overlong w magazine fashion spread . ,11
107,0,well before it's over  beijing bicycle begins spinning its wheels . ,11
108,0,an unsophisticated sci-fi drama that takes itself all too seriously . ,11
109,0,let's cut to the consumer-advice bottom line : stay home . ,11
110,1,even in its most tedious scenes russian ark is mesmerizing . ,11
111,1,majidi gets uniformly engaging performances from his largely amateur cast . ,11
112,1,arteta directs one of the best ensemble casts of the year,11
113,0,please  someone  stop eric schaeffer before he makes another film . ,11
114,0,so relentlessly wholesome it made me want to swipe something . ,11
115,1,the result is mesmerizing -- filled with menace and squalor . ,11
116,0,gibney and jarecki just want to string the bastard up . ,11
117,1,an endearingly offbeat romantic comedy with a great meet-cute gimmick . ,11
118,0,tsai may be ploughing the same furrow once too often . ,11
119,1, . . . a magnificent drama well worth tracking down . ,11
120,1,a flick about our infantilized culture that isn't entirely infantile . ,11
121,0,the story bogs down in a mess of purposeless violence . ,11
122,0,a lousy movie that's not merely unwatchable  but also unlistenable . ,11
123,1,this comic gem is as delightful as it is derivative . ,11
124,0,feels like six different movies fighting each other for attention . ,11
125,0,the angst-ridden  affluent slacker characters are more grating than engaging . ,11
126,0,dodgy mixture of cutesy romance  dark satire and murder mystery . ,11
127,1,the film is a verbal duel between two gifted performers . ,11
128,1,it's an exhilarating place to visit  this laboratory of laughter . ,11
129,1,francophiles will snicker knowingly and you'll want to slap them . ,11
130,0,needed a little less bling-bling and a lot more romance . ,11
131,1,this is a movie full of grace and  ultimately  hope . ,11
132,0,best described as i know what you did last winter . ,11
133,0,jolie's performance vanishes somewhere between her hair and her lips . ,11
134,0,it's basically an overlong episode of tales from the crypt . ,11
135,0,a string of rehashed sight gags based in insipid vulgarity . ,11
136,1,hollywood ending is not show-stoppingly hilarious but scathingly witty nonetheless . ,11
137,0,there's not enough here to justify the almost two hours . ,11
138,1,the first bond movie in ages that isn't fake fun . ,11
139,0,a standard haunted house tale transplanted to the high seas . ,11
140,0,the cumulative effect of the movie is repulsive and depressing . ,11
141,0,the tone shifts abruptly from tense to celebratory to soppy . ,11
142,0,this is rote drivel aimed at mom and dad's wallet . ,11
143,0,a rehash of every gangster movie from the past decade . ,11
144,1,an entertaining colorful action-filled crime story with an intimate heart . ,11
145,0,i didn't laugh . i didn't smile . i survived . ,11
146,0,i haven't seen such self-amused trash since freddy got fingered . ,11
147,0,without shakespeare's eloquent language  the update is dreary and sluggish . ,11
148,1,marshall puts a suspenseful spin on standard horror flick formula . ,11
149,1,we want the funk - and this movie's got it . ,11
150,0,the humor is forced and heavy-handed  and occasionally simply unpleasant . ,11
151,0,we haven't seen such hilarity since say it isn't so ! ,11
152,1,it's funny  as the old saying goes  because it's true . ,11
153,1,arguably the best script that besson has written in years . ,11
154,1,the film is just a big gorgeous mind-blowing breath-taking mess . ,11
155,1,everything about the quiet american is good  except its timing . ,11
156,0,it's an 88-minute highlight reel that's 86 minutes too long . ,11
157,1,one of the most slyly exquisite anti-adult movies ever made . ,11
158,1,meticulously uncovers a trail of outrageous force and craven concealment . ,11
159,0,wallace directs with such patronising reverence  it turns the stomach . ,11
160,1,a meditation on faith and madness  frailty is blood-curdling stuff . ,11
161,1,manages to be wholesome and subversive at the same time . ,11
162,0,laggard drama wending its way to an uninspired philosophical epiphany . ,11
163,0,this 10th film in the series looks and feels tired . ,11
164,0,it's pretentious in a way that verges on the amateurish . ,11
165,0,a dark  dull thriller with a parting shot that misfires . ,11
166,1,a terrific insider look at the star-making machinery of tinseltown . ,11
167,1,boomers and their kids will have a barrie good time . ,11
168,0,it would work much better as a one-hour tv documentary . ,11
169,0,a terrible movie that some people will nevertheless find moving . ,11
170,1,it's a remarkably solid and subtly satirical tour de force . ,11
171,1,quitting offers piercing domestic drama with spikes of sly humor . ,11
172,0,feels like a cold old man going through the motions . ,11
173,0,yo  it's the days of our lives meets electric boogaloo . ,11
174,0,pretty much sucks  but has a funny moment or two . ,11
175,1,there's lots of cool stuff packed into espn's ultimate x . ,11
176,1,a film of precious increments artfully camouflaged as everyday activities . ,11
177,0,'opening up' the play more has partly closed it down . ,11
178,1,a breezy blend of art  history  esoteric musings and philosophy . ,11
179,1,jagger the actor is someone you want to see again . ,11
180,1,harsh effective documentary on life in the israeli-occupied palestinian territories . ,11
181,0,the script is high on squaddie banter  low on shocks . ,11
182,1,gangster no . 1 is solid  satisfying fare for adults . ,11
183,1,drumline ably captures the complicated relationships in a marching band . ,11
184,1,a forceful drama of an alienated executive who re-invents himself . ,11
185,1,provides a very moving and revelatory footnote to the holocaust . ,11
186,1,an unsettling  memorable cinematic experience that does its predecessors proud . ,11
187,1,probably the best case for christianity since chesterton and lewis . ,11
188,0,an authentically vague  but ultimately purposeless  study in total pandemonium . ,11
189,0,burns never really harnesses to full effect the energetic cast . ,11
190,1,it's virtually impossible to like any of these despicable characters . ,11
191,1,a wild ride of a movie that keeps throwing fastballs . ,11
192,0,bullock's complete lack of focus and ability quickly derails the film,11
193,0,certainly not a good movie  but it wasn't horrible either . ,11
194,1,a sentimental but entirely irresistible portrait of three aging sisters . ,11
195,0,verbinski implements every hack-artist trick to give us the ooky-spookies . ,11
196,1,this orange has some juice but it's far from fresh-squeezed . ,11
197,1,the kind of trifle that date nights were invented for . ,11
198,1,a moving essay about the specter of death  especially suicide . ,11
199,0,it's as if allen  at 66  has stopped challenging himself . ,11
200,0,'rare birds' tries to force its quirkiness upon the audience . ,11
201,0,too bad maggio couldn't come up with a better script . ,11
202,0,expect the same-old  lame-old slasher nonsense  just with different scenery . ,11
203,1,the filmmaker's heart is in the right place . . . ,11
204,1,in its ragged cheap and unassuming way the movie works . ,11
205,0," "" not really as bad as you might think ! "" ",11
206,0,nasty  ugly  pointless and depressing  even if you hate clowns . ,11
207,1,it proves quite compelling as an intense brooding character study . ,11
208,1,saved from being merely way-cool by a basic  credible compassion . ,11
209,0,this formulaic chiller will do little to boost stallone's career . ,11
210,0,visually exciting sci-fi film which suffers from a lackluster screenplay . ,11
211,1,nothing short of a masterpiece -- and a challenging one . ,11
212,0,they're going through the motions  but the zip is gone . ,11
213,0,deadly dull  pointless meditation on losers in a gone-to-seed hotel . ,11
214,0,an amateurish  quasi-improvised acting exercise shot on ugly digital video . ,11
215,0,plays like a glossy melodrama that occasionally verges on camp . ,11
216,0,animated drivel meant to enhance the self-image of drooling idiots . ,11
217,0,how this one escaped the lifetime network i'll never know . ,11
218,0,a generic international version of a typical american horror film . ,11
219,0,rather less than the sum of its underventilated p�re-fils confrontations . ,11
220,1,wow  so who knew charles dickens could be so light-hearted ? ,11
221,0,serving sara doesn't serve up a whole lot of laughs . ,11
222,0,innocuous enough to make even jean-claude van damme look good . ,11
223,0,the movie has very little to offer besides unintentional laughs . ,11
224,0,another useless recycling of a brutal mid-'70s american sports movie . ,11
225,1,a portrait of hell so shattering it's impossible to shake . ,11
226,0,the film desperately sinks further and further into comedy futility . ,11
227,0,in terms of execution this movie is careless and unfocused . ,11
228,0,starts promisingly but disintegrates into a dreary  humorless soap opera . ,11
229,0,a really good premise is frittered away in middle-of-the-road blandness . ,11
230,0,it should be doing a lot of things  but doesn't . ,11
231,1,a grimly competent and stolid and earnest military courtroom drama . ,11
232,1,it's a stunning lyrical work of considerable force and truth . ,11
233,1,like the chilled breath of oral storytelling frozen onto film . ,11
234,1,maryam is a small film  but it offers large rewards . ,11
235,1,haneke challenges us to confront the reality of sexual aberration . ,11
236,0,the movie's blatant derivativeness is one reason it's so lackluster . ,11
237,1,one of the most significant moviegoing pleasures of the year . ,11
238,0,despite some charm and heart  this quirky soccer import is forgettable,11
239,0,ze movie starts out so funny  then she is nothing . ,11
240,1,a cultural wildcard experience : wacky  different  unusual  even nutty . ,11
241,1,heaven is a haunting dramatization of a couple's moral ascension . ,11
242,0,the armenian genocide deserves a more engaged and honest treatment . ,11
243,0, . . . generically  forgettably pleasant from start to finish . ,11
244,0,as it stands it's an opera movie for the buffs . ,11
245,0,brainy  artistic and muted  almost to the point of suffocation . ,11
246,0,whether quitting will prove absorbing to american audiences is debatable . ,11
247,0,much of the cast is stiff or just plain bad . ,11
248,1,a feel-good picture in the best sense of the term . ,11
249,0,so much facile technique  such cute ideas  so little movie . ,11
250,0,chalk it up as the worst kind of hubristic folly . ,11
251,1, . . . a guiltless film for nice evening out . ,11
252,1,allen's underestimated charm delivers more goodies than lumps of coal . ,11
253,1,chicago is sophisticated brash sardonic completely joyful in its execution . ,11
254,0,another boorish movie from the i-heard-a-joke- at-a-frat-party school of screenwriting . ,11
255,0,this is just lazy writing . even kids deserve better . ,11
256,1,a droll well-acted character-driven comedy with unexpected deposits of feeling . ,11
257,0,cry havoc and let slip the dogs of cheese  indeed . ,11
258,0,wins my vote for 'the 2002 enemy of cinema' award . ,11
259,0,sunk by way too much indulgence of scene-chewing  teeth-gnashing actorliness . ,11
260,1,his work transcends the boy-meets-girl posturing of typical love stories . ,11
261,1,reggio's continual visual barrage is absorbing as well as thought-provoking . ,11
262,1,the imax screen enhances the personal touch of manual animation . ,11
263,1,windtalkers celebrates the human spirit and packs an emotional wallop . ,11
264,1,guaranteed to move anyone who ever shook rattled or rolled . ,11
265,1,hoffman's performance is authentic to the core of his being . ,11
266,1,tsai convincingly paints a specifically urban sense of disassociation here . ,11
267,1,there's back-stabbing inter-racial desire and most importantly singing and dancing . ,11
268,0,drags along in a dazed and enervated  drenched-in-the- past numbness . ,11
269,0,an undistinguished attempt to make a classic theater piece cinematic . ,11
270,1,an honest  sensitive story from a vietnamese point of view . ,11
271,0,just too silly and sophomoric to ensnare its target audience . ,11
272,0,the sort of movie that gives tastelessness a bad rap . ,11
273,1,well-acted well-directed and for all its moodiness not too pretentious . ,11
274,0,essentially a collection of bits -- and they're all naughty . ,11
275,0,its premise is smart  but the execution is pretty weary . ,11
276,1,brings awareness to an issue often overlooked -- women's depression . ,11
277,0,the plot is romantic comedy boilerplate from start to finish . ,11
278,1,a pleasant enough movie held together by skilled ensemble actors . ,11
279,0,"did we really need a remake of "" charade ? "" ",11
280,1,it is amusing and that's all it needs to be . ,11
281,0, . . . too slow  too boring  and occasionally annoying . ,11
282,1,uno de los policiales m�s interesantes de los �ltimos tiempos . ,11
283,0,involving at times  but lapses quite casually into the absurd . ,11
284,0,skip the film and buy the philip glass soundtrack cd . ,11
285,0,sometimes this modest little number clicks  and sometimes it doesn't . ,11
286,1,[a] superbly controlled passionate adaptation of graham greene's 1955 novel . ,11
287,0,definitely a crowd-pleaser  but then  so was the roman colosseum . ,11
288,0,neither revelatory nor truly edgy--merely crassly flamboyant and comedically labored . ,11
289,0,two badly interlocked stories drowned by all too clever complexity . ,11
290,0,may offend viewers not amused by the sick sense of humor . ,12
291,1,an excellent romp that boasts both a heart and a mind . ,12
292,1,an unbelievably fun film just a leading man away from perfection . ,12
293,0,message movie or an action-packed submarine spectacular ? alas  it's neither . ,12
294,0,shamelessly sappy and  worse  runs away from its own provocative theme . ,12
295,0,stuffy  full of itself  morally ambiguous and nothing to shout about . ,12
296,0,one of the most plain  unimaginative romantic comedies i've ever seen . ,12
297,0,a story which fails to rise above its disgusting source material . ,12
298,0,she's not yet an actress  not quite a singer . . . ,12
299,1,a seriocomic debut of extravagant promise by georgian-israeli director dover kosashvili . ,12
300,0,a lot of talent is wasted in this crass  low-wattage endeavor . ,12
301,0,lacking substance and soul  crossroads comes up shorter than britney's cutoffs . ,12
302,1, . . . a polished and relatively sincere piece of escapism . ,12
303,1,offers an interesting look at the rapidly changing face of beijing . ,12
304,1,a marvelous performance by allison lohman as an identity-seeking foster child . ,12
305,1,the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,12
306,1,the best of the pierce brosnan james bond films to date . ,12
307,0,the movie weighs no more than a glass of flat champagne . ,12
308,1,a coming-of-age movie that hollywood wouldn't have the guts to make . ,12
309,0,to blandly go where we went 8 movies ago . . . ,12
310,0,plays like john le carr� with a couple of burnt-out cylinders . ,12
311,0,there isn't one moment in the film that surprises or delights . ,12
312,1,a mesmerizing cinematic poem from the first frame to the last . ,12
313,0,its plot and animation offer daytime tv serviceability  but little more . ,12
314,0,the script's judgment and sense of weight is way  way off . ,12
315,0,this directorial debut from music video show-off higuchinsky is all flash . ,12
316,1,a powerful  chilling  and affecting study of one man's dying fall . ,12
317,1,for the most part  the film does hold up pretty well . ,12
318,0,you could nap for an hour and not miss a thing . ,12
319,0,just an average comedic dateflick but not a waste of time . ,12
320,0,its characters are thinner than cardboard -- or even comic-book paper . ,12
321,1,exactly what its title implies : lusty  boisterous and utterly charming . ,12
322,1,more good than great but freeman and judd make it work . ,12
323,1,a knowing look at female friendship  spiked with raw urban humor . ,12
324,0,flashy  pretentious and as impenetrable as morvern's thick  working-class scottish accent . ,12
325,1,a vivid  sometimes surreal  glimpse into the mysteries of human behavior . ,12
326,1,one scarcely needs the subtitles to enjoy this colorful action farce . ,12
327,0,none of this is very original  and it isn't particularly funny . ,12
328,1,a sober and affecting chronicle of the leveling effect of loss . ,12
329,1,a return to pure disney magic and is enjoyable family fare . ,12
330,0,gets bogged down by an overly sillified plot and stop-and-start pacing . ,12
331,0,the campy results make mel brooks' borscht belt schtick look sophisticated . ,12
332,0, . . . a ho-hum affair  always watchable yet hardly memorable . ,12
333,1,works because reno doesn't become smug or sanctimonious towards the audience . ,12
334,1,can be viewed as pure composition and form -- film as music,12
335,0, . . . has virtually no script at all . . . ,12
336,0,the script is a dim-witted pairing of teen-speak and animal gibberish . ,12
337,0,the script is a disaster  with cloying messages and irksome characters . ,12
338,0,this feature is about as necessary as a hole in the head,12
339,1,as played by ryan gosling  danny is a frighteningly fascinating contradiction . ,12
340,1,fubar is very funny  but not always in a laugh-out-loud way . ,12
341,1,a rip-roaring comedy action fest that'll put hairs on your chest . ,12
342,1,boasts enough funny dialogue and sharp characterizations to be mildly amusing . ,12
343,0,a modest and messy metaphysical thriller offering more questions than answers . ,12
344,0,dripping with cliche and bypassing no opportunity to trivialize the material . ,12
345,1,the overall result is an intelligent  realistic portrayal of testing boundaries . ,12
346,0,too stagey  talky -- and long -- for its own good . ,12
347,0,depressingly thin and exhaustingly contrived . only masochistic moviegoers need apply . ,12
348,0,a sentimental hybrid that could benefit from the spice of specificity . ,12
349,1,any movie that makes hard work seem heroic deserves a look . ,12
350,0,the movie tries to be ethereal  but ends up seeming goofy . ,12
351,0,children and adults enamored of all things pokemon won't be disappointed . ,12
352,0,whaley's determination to immerse you in sheer  unrelenting wretchedness is exhausting . ,12
353,0,a valueless kiddie paean to pro basketball underwritten by the nba . ,12
354,1,at its most basic  this cartoon adventure is that wind-in-the-hair exhilarating . ,12
355,1,the result is more depressing than liberating but it's never boring . ,12
356,1,the film is bright and flashy in all the right ways . ,12
357,0,a work that lacks both a purpose and a strong pulse . ,12
358,0,one of the most unpleasant things the studio has ever produced . ,12
359,0,leaves viewers out in the cold and undermines some phenomenal performances . ,12
360,1,'easily my choice for one of the year's best films . ',12
361,0,the most ill-conceived animated comedy since the 1991 dog rover dangerfield . ,12
362,0,feels like pieces a bunch of other  better movies slapped together . ,12
363,0,the acting by the over-25s lacks spark  with csokas particularly unconnected . ,12
364,1,wonder of wonders -- a teen movie with a humanistic message . ,12
365,1,eric byler's nuanced pic avoids easy sentiments and explanations . . . ,12
366,0,a surprisingly flat retread  hobbled by half-baked setups and sluggish pacing . ,12
367,1,one of the best most understated performances of [jack nicholson's] career . ,12
368,1,�an adorably whimsical comedy that deserves more than a passing twinkle . ,12
369,1,garcia and the other actors help make the wobbly premise work . ,12
370,0,an erotic thriller that's neither too erotic nor very thrilling  either . ,12
371,0,spain's greatest star wattage doesn't overcome the tumult of maudlin tragedy . ,12
372,0,writer/director burr steers emphasizes the q in quirky  with mixed results . ,12
373,1,a solidly constructed  entertaining thriller that stops short of true inspiration . ,12
374,1,it's a feel-good movie about which you can actually feel good . ,12
375,1,chilling in its objective portrait of dreary  lost twenty-first century america . ,12
376,1,a solid spooky entertainment worthy of the price of a ticket . ,12
377,1, . . . blade ii is more enjoyable than the original . ,12
378,0,the verdict : two bodies and hardly a laugh between them . ,12
379,1,a well-made and often lovely depiction of the mysteries of friendship . ,12
380,0,a thriller without thrills and a mystery devoid of urgent questions . ,12
381,1,will warm your heart without making you feel guilty about it . ,12
382,0,a disaster of a drama  saved only by its winged assailants . ,12
383,0,has the disjointed feel of a bunch of strung-together tv episodes . ,12
384,1,maybe thomas wolfe was right : you can't go home again . ,12
385,0,has a customarily jovial air but a deficit of flim-flam inventiveness . ,12
386,1,a beguiling splash of pastel colors and prankish comedy from disney . ,12
387,0,a laughable -- or rather  unlaughable -- excuse for a film . ,12
388,1,an impossible romance but we root for the patronized iranian lad . ,12
389,1,vampire epic succeeds as spooky action-packed trash of the highest order . ,12
390,1,overcomes its visual hideousness with a sharp script and strong performances . ,12
391,1,a work of intricate elegance literary lyricism and profound common sense . ,12
392,1,it's the kind of pigeonhole-resisting romp that hollywood too rarely provides . ,12
393,1,a bittersweet film  simple in form but rich with human events . ,12
394,1,it is risky intelligent romantic and rapturous from start to finish . ,12
395,0,muddled  melodramatic paranormal romance is an all-time low for kevin costner . ,12
396,0,a film that clearly means to preach exclusively to the converted . ,12
397,1,what a great way to spend 4 units of your day . ,12
398,0,too clunky and too busy ribbing itself to be truly entertaining . ,12
399,1,what redeems the film is the cast  particularly the ya-yas themselves . ,12
400,1,it's rather like a lifetime special -- pleasant sweet and forgettable . ,12
401,0, . . . an unimaginative  nasty  glibly cynical piece of work . ,12
402,0,the most anti-human big studio picture since 3000 miles to graceland . ,12
403,0,not everything in the film works  including its somewhat convenient ending . ,12
404,0,unless you're a fanatic  the best advice is : 'scooby' don't . ,12
405,1,has a lot of the virtues of eastwood at his best . ,12
406,0,the gantzes' interviews tend to let the guys off the hook . ,12
407,0,there is only so much baked cardboard i need to chew . ,12
408,0,the story suffers a severe case of oversimplification  superficiality and silliness . ,12
409,0,a small independent film suffering from a severe case of hollywood-itis . ,12
410,1,a confluence of kiddie entertainment  sophisticated wit and symbolic graphic design . ,12
411,1,a low-key labor of love that strikes a very resonant chord . ,12
412,1,likeable thanks to its cast  its cuisine and its quirky tunes . ,12
413,0, . . . think of it as american pie on valium . ,12
414,1,promises is one film that's truly deserving of its oscar nomination . ,12
415,1,jason patric and ray liotta make for one splendidly cast pair . ,12
416,1,what it lacks in substance it makes up for in heart . ,12
417,0,christina ricci comedy about sympathy  hypocrisy and love is a misfire . ,12
418,0,one of the oddest and most inexplicable sequels in movie history . ,12
419,0,a pathetically inane and unimaginative cross between xxx and vertical limit . ,12
420,1,a fascinating  unnerving examination of the delusions of one unstable man . ,12
421,1,this is human comedy at its most amusing interesting and confirming . ,12
422,1,labute's careful handling makes the material seem genuine rather than pandering . ,12
423,0,everything that was right about blade is wrong in its sequel . ,12
424,1,a captivating and intimate study about dying and loving . . . ,12
425,0,simply doesn't have sufficient heft to justify its two-hour running time . ,12
426,0,this 100-minute movie only has about 25 minutes of decent material . ,12
427,0,it's impossible to even categorize this as a smutty guilty pleasure . ,12
428,0,scorsese doesn't give us a character worth giving a damn about . ,12
429,0,a potentially good comic premise and excellent cast are terribly wasted . ,12
430,1,transforms one of [shakespeare's] deepest tragedies into a smart new comedy . ,12
431,1,a hypnotic cyber hymn and a cruel story of youth culture . ,12
432,0,wanker goths are on the loose ! run for your lives ! ,12
433,0,a cheerful enough but imminently forgettable rip-off of [besson's] earlier work . ,12
434,0,the film is ultimately about as inspiring as a hallmark card . ,12
435,1, . . . a triumph of emotionally and narratively complex filmmaking . ,12
436,0,a relentless  bombastic and ultimately empty world war ii action flick . ,12
437,1,it'll keep you wide awake and . . . very tense . ,12
438,1,a penetrating glimpse into the tissue-thin ego of the stand-up comic . ,12
439,0,a stupid  derivative horror film that substitutes extreme gore for suspense . ,12
440,0,dogtown is hollow  self-indulgent  and - worst of all - boring . ,12
441,0,everything -- even life on an aircraft carrier -- is sentimentalized . ,12
442,0,'yes  that's right : it's forrest gump  angel of death . ',12
443,0,the film's overall mood and focus is interesting but constantly unfulfilling . ,12
444,0,an ill-conceived jumble that's not scary  not smart and not engaging . ,12
445,0,the problem with all of this : it's not really funny . ,12
446,0,the christ allegory doesn't work because there is no foundation for it,12
447,0,the innocence of holiday cheer ain't what it used to be . ,12
448,0,a compendium of solondz's own worst instincts in under 90 minutes . ,12
449,0,a gorgeous  somnolent show that is splendidly mummified and thoroughly unsurprising . ,12
450,1,quite funny for the type of movie it is . . . ,12
451,1,the 1960s rebellion was misdirected : you can't fight your culture . ,12
452,1,the pitch must have read like a discarded house beautiful spread . ,12
453,0,collapses after 30 minutes into a slap-happy series of adolescent violence . ,12
454,1,[fincher's] camera sense and assured pacing make it an above-average thriller . ,12
455,1,at 78 minutes it just zings along with vibrance and warmth . ,12
456,0,lillard and cardellini earn their scooby snacks  but not anyone else . ,12
457,0, . . . contains very few laughs and even less surprises . ,12
458,0,a perfect example of rancid  well-intentioned  but shamelessly manipulative movie making . ,12
459,0,the truth is that the truth about charlie gets increasingly tiresome . ,12
460,1,one of the year's most weirdly engaging and unpredictable character pieces . ,12
461,0,say this for the soundtrack  it drowns out the lousy dialogue . ,12
462,1,jones . . . does offer a brutal form of charisma . ,12
463,1,it's a lovely  eerie film that casts an odd  rapt spell . ,12
464,1,it's a lovely film with lovely performances by buy and accorsi . ,12
465,0,the movie is essentially a series of fleetingly interesting actors' moments . ,12
466,0,a slow-moving police-procedural thriller that takes its title all too literally . ,12
467,0,poor editing  bad bluescreen  and ultra-cheesy dialogue highlight the radical action . ,12
468,0,scotland  pa is entirely too straight-faced to transcend its clever concept . ,12
469,1,heartwarming and gently comic even as the film breaks your heart . ,12
470,1,una pel�cula oscura  precisa  por momentos grandiosa y casi siempre conmovedora . ,12
