label,text,words
0,a whimsical if predictable time-travel fable marred by a willful single-mindedness . ,12
0,a film that clearly means to preach exclusively to the converted . ,12
1,often shocking but ultimately worthwhile exploration of motherhood and desperate mothers . ,12
0,plays like john le carr? with a couple of burnt-out cylinders . ,12
1,what jackson has accomplished here is amazing on a technical level . ,12
0,a mimetic approximation of better films like contempt and 8 1/2 . ,12
1,the overall result is an intelligent  realistic portrayal of testing boundaries . ,12
0,the truth about charlie is that it's a brazenly misguided project . ,12
1,the result is more depressing than liberating but it's never boring . ,12
1,an ironic speculation on democracy in a culture unaccustomed to it . ,12
0,this one is certainly well-meaning  but it's also simple-minded and contrived . ,12
0,the campy results make mel brooks' borscht belt schtick look sophisticated . ,12
0,lacking substance and soul  crossroads comes up shorter than britney's cutoffs . ,12
1,a penetrating glimpse into the tissue-thin ego of the stand-up comic . ,12
0,unfortunately  neither sendak nor the directors are particularly engaging or articulate . ,12
0,the acting by the over-25s lacks spark  with csokas particularly unconnected . ,12
1,a hypnotic cyber hymn and a cruel story of youth culture . ,12
1,[fincher's] camera sense and assured pacing make it an above-average thriller . ,12
0,a cheerful enough but imminently forgettable rip-off of [besson's] earlier work . ,12
0,a slow-moving police-procedural thriller that takes its title all too literally . ,12
1,ryan gosling is  in a word  brilliant as the conflicted daniel . ,12
0,unless you're a fanatic  the best advice is : 'scooby' don't . ,12
0,spain's greatest star wattage doesn't overcome the tumult of maudlin tragedy . ,12
1,cage makes an unusual but pleasantly haunting debut behind the camera . ,12
1,a modest pleasure that accomplishes its goals with ease and confidence . ,12
0, . . . has virtually no script at all . . . ,12
0,the film's overall mood and focus is interesting but constantly unfulfilling . ,12
1,deliriously funny fast and loose accessible to the uninitiated and full of surprises,13
1,despite its floating narrative  this is a remarkably accessible and haunting film . ,13
0,the actors are appealing  but elysian fields is idiotic and absurdly sentimental . ,13
1,one of the more intelligent children's movies to hit theaters this year . ,13
0," "" an entire film about researchers quietly reading dusty old letters . "" ",13
0,this is more a case of 'sacre bleu ! ' than 'magnifique' . ,13
1,a well-made thriller with a certain level of intelligence and non-reactionary morality . ,13
1,insomnia is involving . still i thought it could have been more . ,13
0,90 punitive minutes of eardrum-dicing gunplay  screeching-metal smashups  and flaccid odd-couple sniping . ,13
0,a tired  predictable  bordering on offensive  waste of time  money and celluloid . ,13
1,light silly photographed with colour and depth and rather a good time . ,13
0,less a heartfelt appeal for the handicapped than a nice belgian waffle . ,13
0,those unfamiliar with mormon traditions may find the singles ward occasionally bewildering . ,13
0,all ends well  sort of  but the frenzied comic moments never click . ,13
1, . . . quite good at providing some good old fashioned spooks . ,13
0,this is a poster movie  a mediocre tribute to films like them ! ,13
0,'unfaithful' cheats on itself and retreats to comfortable territory . too bad . ,13
1,a deliciously nonsensical comedy about a city coming apart at its seams . ,13
0,it's a sometimes interesting remake that doesn't compare to the brilliant original . ,13
0,it's not difficult to spot the culprit early-on in this predictable thriller . ,13
0,mattei is tiresomely grave and long-winded  as if circularity itself indicated profundity . ,13
0,an unfortunate title for a film that has nothing endearing about it . ,13
1,this is simply the most fun you'll ever have with a documentary ! ,13
0,it has become apparent that the franchise's best years are long past . ,13
0,has little on its mind aside from scoring points with drag gags . ,13
1,smart and alert  thirteen conversations about one thing is a small gem . ,13
1,a piquant meditation on the things that prevent people from reaching happiness . ,13
1,pacino is the best he's been in years and keener is marvelous . ,13
1,far more successful  if considerably less ambitious  than last year's kubrick-meets-spielberg exercise . ,13
0,the movie fails to live up to the sum of its parts . ,13
0,britney's performance cannot be faulted . lucy's a dull girl  that's all . ,13
1,both a successful adaptation and an enjoyable film in its own right . ,13
1,happy times maintains an appealing veneer without becoming too cute about it . ,13
1,though not for everyone  the guys is a somber trip worth taking . ,13
1,a solid cast  assured direction and complete lack of modern day irony . ,13
0,i watched the brainless insanity of no such thing with mounting disbelief . ,13
0,ordinary melodrama that is heavy on religious symbols but wafer-thin on dramatic substance,13
1,a moving tale of love and destruction in unexpected places unexamined lives . ,13
1,a remarkable movie with an unsatisfying ending  which is just the point . ,13
0,even film silliness needs a little gravity  beyond good hair and humping . ,13
1,a slam-bang extravaganza that is all about a wild-and-woolly  wall-to-wall good time . ,13
0,feels less like it's about teenagers  than it was written by teenagers . ,13
0,there's nothing exactly wrong here  but there's not nearly enough that's right . ,13
1,everyone should be able to appreciate the wonderful cinematography and naturalistic acting . ,13
1,it is a testament of quiet endurance of common concern of reconciled survival . ,14
1,may not be a breakthrough in filmmaking  but it is unwavering and arresting . ,14
1,k-19 : the widowmaker is derivative overlong and bombastic -- yet surprisingly entertaining . ,14
0,to portray modern women the way director davis has done is just unthinkable . ,14
0,new yorkers always seem to find the oddest places to dwell . . . ,14
1,[majidi] makes us think twice about immigrants we see around us every day . ,14
1,one of the very best movies ever made about the life of moviemaking . ,14
0,it appears that something has been lost in the translation to the screen . ,14
0,a cumbersome and cliche-ridden movie greased with every emotional device known to man . ,14
0,does what should seem impossible : it makes serial killer jeffrey dahmer boring . ,14
0,eccentric enough to stave off doldrums  caruso's self-conscious debut is also eminently forgettable . ,14
1,an artful intelligent film that stays within the confines of a well-established genre . ,14
1,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going . ,14
0,outer-space buffs might love this film  but others will find its pleasures intermittent . ,14
0,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films . ,14
1,ultimately feels empty and unsatisfying like swallowing a communion wafer without the wine . ,14
1,may be the most undeserving victim of critical overkill since town and country . ,14
1,arteta paints a picture of lives lived in a state of quiet desperation . ,14
0,a painfully slow cliche-ridden film filled with more holes than clyde barrow's car . ,14
1,tunney  brimming with coltish  neurotic energy  holds the screen like a true star . ,14
0,there's no real reason to see it  and no real reason not to . ,14
1,passion  melodrama  sorrow  laugther  and tears cascade over the screen effortlessly . . . ,14
0,rollerball is as bad as you think  and worse than you can imagine . ,14
1,what better message than 'love thyself' could young women of any size receive ? ,14
0,william shatner  as a pompous professor  is the sole bright spot . . . ,14
0,one of the more irritating cartoons you will see this  or any  year . ,14
0,not just unlikable . disturbing . disgusting . without any redeeming value whatsoever . ,14
0,dreary  highly annoying . . . 'some body' will appeal to no one . ,14
0,trivial where it should be profound  and hyper-cliched where it should be sincere . ,14
0,rainy days and movies about the disintegration of families always get me down . ,14
1,the one-liners are snappy  the situations volatile and the comic opportunities richly rewarded . ,14
0,like leafing through an album of photos accompanied by the sketchiest of captions . ,14
1,i'm not generally a fan of vegetables but this batch is pretty cute . ,14
0,merchant hasn't directed this movie so much as produced it -- like sausage . ,14
1,if you like quirky  odd movies and/or the ironic  here's a fun one . ,14
0,a movie in which laughter and self-exploitation merge into jolly soft-porn 'empowerment . ',14
1,offers the flash of rock videos fused with solid performances and eerie atmosphere . ,14
1,occasionally funny always very colorful and enjoyably overblown in the traditional almod?var style . ,14
0,what was subtle and mystifying in the novella is now broad and farcical . ,14
0,an uplifting drama . . . what antwone fisher isn't  however  is original . ,14
1,call this the full monty on ice  the underdog sports team formula redux . ,14
0,the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen . ,14
0,a family-friendly fantasy that ends up doing very little with its imaginative premise . ,14
0,it uses the pain and violence of war as background material for color . ,14
0,seems like something american and european gay movies were doing 20 years ago . ,14
1,the movie is not as terrible as the synergistic impulse that created it . ,14
0,its appeal will probably limited to lds church members and undemanding armchair tourists . ,14
1,it's jagger's bone-dry  mournfully brittle delivery that gives the film its bittersweet bite . ,14
0,it's a loathsome movie  it really is and it makes absolutely no sense . ,14
1,thanks to ice cube  benjamins feels an awful lot like friday in miami . ,14
1,just about the best straight-up  old-school horror film of the last 15 years . ,14
1,a confident richly acted emotionally devastating piece of work and 2002's first great film,14
1,the movie is brilliant  really . it is philosophy  illustrated through everyday events . ,14
1,the funny thing is i didn't mind all this contrived nonsense a bit . ,14
1,os universos de chuck barris e charlie kaufman s?o complementares . e igualmente fascinantes . ,15
1,the modern master of the chase sequence returns with a chase to end all chases,15
0,all of the filmmakers' calculations can't rescue brown sugar from the curse of blandness . ,15
1,for the most part stevens glides through on some solid performances and witty dialogue . ,15
1,es una de esas pel?culas de las que uno sale reconfortado  agradecido  genuinamente sorprendido . ,15
1, . . . a thoughtful what-if for the heart as well as the mind . ,15
0,succeeds in providing a disquiet world the long-dreaded completion of the police academy series . ,15
1,whenever you think you've figured out late marriage it throws you for a loop . ,15
0,though jones and snipes are enthralling  the movie bogs down in rhetoric and clich? . ,15
1,may lack the pungent bite of its title  but it's an enjoyable trifle nonetheless . ,15
1, . . . one of the most entertaining monster movies in ages . . . ,15
0,so stupid  so ill-conceived  so badly drawn  it created whole new levels of ugly . ,15
0,deserves high marks for political courage but barely gets by on its artistic merits . ,15
1,one of [jaglom's] better efforts -- a wry and sometime bitter movie about love . ,15
1,not too fancy  not too filling  not too fluffy  but definitely tasty and sweet . ,15
0,a depressingly retrograde  'post-feminist' romantic comedy that takes an astonishingly condescending attitude toward women . ,15
1,a fine production with splendid singing by angela gheorghiu  ruggero raimondi  and roberto alagna . ,15
1,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,15
1,ms . seigner and mr . serrault bring fresh unforced naturalism to their characters . ,15
1,it's still a comic book  but maguire makes it a comic book with soul . ,15
0,snipes relies too much on a scorchingly plotted dramatic scenario for its own good . ,15
0,a zombie movie in every sense of the word--mindless  lifeless  meandering  loud  painful  obnoxious . ,15
0,pure of intention and passably diverting  his secret life is light  innocuous and unremarkable . ,15
0,sade achieves the near-impossible : it turns the marquis de sade into a dullard . ,15
0,a generic family comedy unlikely to be appreciated by anyone outside the under-10 set . ,15
1,an incredibly clever and superbly paced caper filled with scams within scams within scams . ,15
0,the script kicks in  and mr . hartley's distended pace and foot-dragging rhythms follow . ,15
0,a limp eddie murphy vehicle that even he seems embarrassed to be part of . ,15
1,hu and liu offer natural matter-of-fact performances that glint with sorrow longing and love . ,15
0,a solid film . . . but more conscientious than it is truly stirring . ,15
0,mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,15
0,all in all  road to perdition is more in love with strangeness than excellence . ,15
1,with rabbit-proof fence noyce has tailored an epic tale into a lean economical movie . ,15
1,ludicrous  but director carl franklin adds enough flourishes and freak-outs to make it entertaining . ,15
1,the obnoxious title character provides the drama that gives added clout to this doc . ,15
1,escaping the studio piccoli is warmly affecting and so is this adroitly minimalist movie . ,15
1,an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore . ,15
0,i don't mind having my heartstrings pulled  but don't treat me like a fool . ,15
1,daughter from danang sticks with its subjects a little longer and tells a deeper story,15
0,this is cruel  misanthropic stuff with only weak claims to surrealism and black comedy . ,15
1,the movie's relatively simple plot and uncomplicated morality play well with the affable cast . ,15
0,'lovely and amazing  ' unhappily  is neither . . . excessively strained and contrived . ,15
1,chris columbus' sequel is faster  livelier and a good deal funnier than his original . ,15
1,even when it drags  we are forced to reflect that its visual imagination is breathtaking,15
1,an amazing and incendiary movie that dives straight into the rough waters of contradiction . ,15
0,sluggishly directed by episodic tv veteran joe zwick  it's a sitcom without the snap-crackle . ,15
0,this is sandler running on empty  repeating what he's already done way too often . ,15
1,the music makes a nice album  the food is enticing and italy beckons us all . ,16
0,scotland  pa . is a strangely drab romp . some studio pizazz might have helped . ,16
1,mr . deeds is  as comedy goes  very silly -- and in the best way . ,16
1,a riveting profile of law enforcement  and a visceral  nasty journey into an urban hades . ,16
1,there's a spontaneity to the chateau  a sense of light-heartedness  that makes it attractive throughout . ,16
0,frustratingly  dridi tells us nothing about el gallo other than what emerges through his music . ,16
1,it's a bit disappointing that it only manages to be decent instead of dead brilliant . ,16
1,an inventive absorbing movie that's as hard to classify as it is hard to resist . ,16
1,a must-see for the david mamet enthusiast and for anyone who appreciates intelligent stylish moviemaking . ,16
1,[gosling's] combination of explosive physical energy and convincing intelligence helps create a complex  unpredictable character . ,16
0,by the end  i was looking for something hard with which to bludgeon myself unconscious . ,16
1,confessions isn't always coherent  but it's sharply comic and surprisingly touching  so hold the gong . ,16
1,for a good chunk of its running time trapped is an effective and claustrophobic thriller . ,16
0,what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film . ,16
0,the misery of these people becomes just another voyeuristic spectacle  to be consumed and forgotten . ,16
0,utterly lacking in charm  wit and invention  roberto benigni's pinocchio is an astonishingly bad film . ,16
1,jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness . ,16
0,it's a trifle of a movie  with a few laughs surrounding an unremarkable soft center . ,16
0,sinks into the usual cafeteria goulash of fart jokes  masturbation jokes  and racist japanese jokes . ,16
1,like any good romance  son of the bride  proves it's never too late to learn . ,16
0,one of those pictures whose promising  if rather precious  premise is undercut by amateurish execution . ,16
1,every dance becomes about seduction where backstabbing and betrayals are celebrated and sex is currency . ,16
1,feeling like a dope has rarely been more fun than it is in nine queens . ,16
0,fans of the tv series will be disappointed  and everyone else will be slightly bored . ,16
1,when the movie mixes the cornpone and the cosa nostra  it finds a nice rhythm . ,16
1,the action sequences are fun and reminiscent of combat scenes from the star wars series . ,16
0,the filmmakers keep pushing the jokes at the expense of character until things fall apart . ,16
1,a four star performance from kevin kline who unfortunately works with a two star script . ,16
1,comedian  like its subjects  delivers the goods and audiences will have a fun  no-frills ride . ,16
1, . . . it's as comprehensible as any dummies guide  something even non-techies can enjoy . ,16
0,it won't be long before you'll spy i spy at a video store near you . ,16
1,could this be the first major studio production shot on video tape instead of film ? ,16
1,pure cinematic intoxication  a wildly inventive mixture of comedy and melodrama  tastelessness and swooning elegance . ,16
1,adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary . ,16
0,observant intelligence constantly vies with pretension -- and sometimes plain wacky implausibility -- throughout maelstrom . ,16
1,funny  somber  absurd  and  finally  achingly sad  bartleby is a fine  understated piece of filmmaking . ,16
1,first-time writer-director serry shows a remarkable gift for storytelling with this moving effective little film . ,16
0,what we get . . . is caddyshack crossed with the loyal order of raccoons . ,16
0,a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film . ,16
0,this is a heartfelt story . . . it just isn't a very involving one . ,16
0,every time you look  sweet home alabama is taking another bummer of a wrong turn . ,16
1,this is a fascinating film because there is no clear-cut hero and no all-out villain . ,16
1,biggie and tupac is so single-mindedly daring it puts far more polished documentaries to shame . ,16
0,when your subject is illusion versus reality  shouldn't the reality seem at least passably real ? ,16
0,rarely does a film so graceless and devoid of merit as this one come along . ,16
1,a sweet-natured reconsideration of one of san francisco's most vital if least widely recognized creative fountainheads . ,17
0,it might be the first sci-fi comedy that could benefit from a three's company-style laugh track . ,17
1,frida's artistic brilliance is undeniable -- it's among the most breathtakingly designed films i've ever seen . ,17
0,watching the chemistry between freeman and judd  however  almost makes this movie worth seeing . almost . ,17
0,the film thrusts the inchoate but already eldritch christian right propaganda machine into national media circles . ,17
0,rambles on in a disjointed  substandard fashion from one poorly executed action sequence to the next . ,17
1,the performers are so spot on  it is hard to conceive anyone else in their roles . ,17
1,escapes the precious trappings of most romantic comedies  infusing into the story very real  complicated emotions . ,17
0,too timid to bring a sense of closure to an ugly chapter of the twentieth century . ,17
1,while undercover brother is definitely one for the masses it's also full of sharp smart satire . ,17
0,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . ',17
0,skins has a right to yawp  and we have a right to our grains of salt . ,17
1,a photographic marvel of sorts  and it's certainly an invaluable record of that special fishy community . ,17
1,we admire this film for its harsh objectivity and refusal to seek our tears  our sympathies . ,17
1,a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity  and an event . ,17
0,for all the time we spend with these people  we never really get inside of them . ,17
0,for a movie about the power of poetry and passion  there is precious little of either . ,17
1,that rare film whose real-life basis is  in fact  so interesting that no embellishment is needed . ,17
1,it's been made with an innocent yet fervid conviction that our hollywood has all but lost . ,17
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu . ,17
0,the unceasing sadism is so graphically excessive  the director just ends up exposing his own obsession . ,17
0,this ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it . ,17
1,the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati . ,17
0,the pivotal narrative point is so ripe the film can't help but go soft and stinky . ,17
1,the movie worked for me right up to the final scene  and then it caved in . ,17
0,if this is the resurrection of the halloween franchise  it would have been better off dead . ,17
1,a visionary marvel  but it's lacking a depth in storytelling usually found in anime like this . ,17
0,it's a grab bag of genres that don't add up to a whole lot of sense . ,17
1,claire is a terrific role for someone like judd  who really ought to be playing villains . ,17
1,beautifully shot  delicately scored and powered by a set of heartfelt performances  it's a lyrical endeavour . ,17
1,a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack,17
1,the unique tug-of-war with viewer expectations is undeniable if not a pleasure in its own right . ,17
0,written  flatly  by david kendall and directed  barely  by there's something about mary co-writer ed decter . ,17
0,a fan film that for the uninitiated plays better on video with the sound turned down . ,17
1,tres greek writer and star nia vardalos has crafted here a worldly-wise and very funny script . ,17
0,throughout all the tumult  a question comes to mind : so why is this so boring ? ,17
0,unspools like a highbrow  low-key  102-minute infomercial  blending entrepreneurial zeal with the testimony of satisfied customers . ,17
1,it's a beautiful film  full of elaborate and twisted characters - and it's also pretty funny . ,17
1,it's nice to see piscopo again after all these years  and chaykin and headly are priceless . ,17
1,occasionally funny and consistently odd and it works reasonably well as a star vehicle for zhao . ,17
1,presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it . ,17
1,a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world . ,17
1,the trials of henry kissinger is a remarkable piece of filmmaking ? because you get it . ,17
0,watching queen of the damned is like reading a research paper  with special effects tossed in . ,17
1,a miniscule little bleep on the film radar but one that many more people should check out,17
0,the trouble is  its filmmakers run out of clever ideas and visual gags about halfway through . ,17
1,as action-adventure  this space-based homage to robert louis stevenson's treasure island fires on all plasma conduits . ,17
1,schaeffer isn't in this film  which may be why it works as well as it does . ,17
0,ja rule and kurupt should have gotten to rap . it would have benefitted the dialogue . ,17
0,you can thank me for this . i saw juwanna mann so you don't have to . ,17
0,scores no points for originality  wit  or intelligence . it's a cookie-cutter movie  a cut-and-paste job . ,17
1,good car chases great fight scenes and a distinctive blend of european american and asian influences . ,17
1,hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation . ,17
1,a searing  epic treatment of a nationwide blight that seems to be  horrifyingly  ever on the rise . ,18
1,call me a wimp but i cried not once but three times in this animated sweet film . ,18
0,the concept is a hoot . the trailer is a riot . the movie is a dud . ,18
0,the picture is a primer on what happens when lack of know-how mixes with lack of give-a-damn . ,18
1,'[the cockettes] provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',18
0,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . ,18
0,human nature is a goofball movie  in the way that malkovich was  but it tries too hard . ,18
1,unfortunately it appears that [jackie] chan's us influence is starting to show in his hong kong films . ,18
1,by and large this is mr . kilmer's movie  and it's his strongest performance since the doors . ,18
0,hardly a nuanced portrait of a young woman's breakdown  the film nevertheless works up a few scares . ,18
1,this is a visually stunning rumination on love  memory  history and the war between art and commerce . ,18
0,it goes on for too long and bogs down in a surfeit of characters and unnecessary subplots . ,18
0,doesn't get the job done  running off the limited chemistry created by ralph fiennes and jennifer lopez . ,18
0,cruel and inhuman cinematic punishment . . . simultaneously degrades its characters  its stars and its audience . ,18
1,far from perfect but its heart is in the right place . . . innocent and well-meaning . ,18
0,it doesn't do the original any particular dishonor  but neither does it exude any charm or personality . ,18
0,it's the movie equivalent of a sweaty old guy in a rain coat shopping for cheap porn . ,18
0,though catch me if you can isn't badly made  the fun slowly leaks out of the movie . ,18
0,i wish it would have just gone more over-the-top instead of trying to have it both ways . ,18
1,hailed as a clever exercise in neo-hitchcockianism  this clever and very satisfying picture is more accurately chabrolian . ,18
0,like shave ice without the topping  this cinematic snow cone is as innocuous as it is flavorless . ,18
1,those outside show business will enjoy a close look at people they don't really want to know . ,18
0,the beautiful  unusual music is this film's chief draw  but its dreaminess may lull you to sleep . ,18
1,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role . ,18
1,it ain't art  by a long shot  but unlike last year's lame musketeer  this dumas adaptation entertains . ,18
1,300 years of russian history and culture compressed into an evanescent  seamless and sumptuous stream of consciousness . ,18
1, . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . ,18
0,the movie has generic virtues  and despite a lot of involved talent  seems done by the numbers . ,18
0,every visual joke is milked  every set-up obvious and lengthy  every punchline predictable . there's no energy . ,18
1,a journey through memory a celebration of living and a sobering rumination on fatality classism and ignorance . ,18
1,it inspires a continuing and deeply satisfying awareness of the best movies as monumental 'picture shows . ',18
0,the director mostly plays it straight  turning leys' fable into a listless climb down the social ladder . ,18
1, . . . a visually seductive  unrepentantly trashy take on rice's second installment of her vampire chronicles . ,18
1,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid . ,18
1,one of those exceedingly rare films in which the talk alone is enough to keep us involved . ,18
1,astonishing . . . [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment . ,18
0,the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts . ,18
1,it has the ability to offend and put off everyone but it holds you with its outrageousness . ,18
1,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion . ,18
1,intriguing and beautiful film but those of you who read the book are likely to be disappointed . ,18
0,life or something like it has its share of high points  but it misses too many opportunities . ,18
0,even with its $50-million us budget  pinocchio never quite achieves the feel of a fanciful motion picture . ,18
0,cattaneo should have followed the runaway success of his first film  the full monty  with something different . ,18
0,even when crush departs from the 4w formula . . . it feels like a glossy rehash . ,18
0,birot is a competent enough filmmaker  but her story has nothing fresh or very exciting about it . ,18
1,though overall an overwhelmingly positive portrayal  the film doesn't ignore the more problematic aspects of brown's life . ,18
0,the film equivalent of a toy chest whose contents get scattered over the course of 80 minutes . ,18
0,the film is all over the place  really . it dabbles all around  never gaining much momentum . ,18
1,this road movie gives you emotional whiplash and you'll be glad you went along for the ride . ,18
0,the impact of the armenian genocide is diluted by too much stage business in the modern day . ,18
1,a quietly reflective and melancholy new zealand film about an eventful summer in a 13-year-old girl's life . ,18
1,hardly a masterpiece but it introduces viewers to a good charitable enterprise and some interesting real people . ,18
0,wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : totally past his prime . ,19
1,a distant even sterile yet compulsively watchable look at the sordid life of hogan's heroes star bob crane . ,19
1,serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination . ,19
1,it may be about drug dealers  kidnapping  and unsavory folks  but the tone and pacing are shockingly intimate . ,19
0,it is very difficult to care about the character  and that is the central flaw of the film . ,19
1,while the filmmaking may be a bit disjointed  the subject matter is so fascinating that you won't care . ,19
0,the only way to tolerate this insipid  brutally clueless film might be with a large dose of painkillers . ,19
0,the film starts promisingly  but the ending is all too predictable and far too cliched to really work . ,19
0,we never feel anything for these characters  and as a result the film is basically just a curiosity . ,19
0,a late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques . ,19
0,this film is full of rabbits . brimful . but like most rabbits  it seems to lack substance . ,19
0,martin scorsese cria um espet?culo visual que n?o possui alma - um filme esteticamente belo  mas emocionalmente frio . ,19
1,the vitality of the actors keeps the intensity of the film high even as the strafings blend together . ,19
0,instead of making his own style  director marcus adams just copies from various sources ? good sources  bad mixture,19
1,texan director george ratliff had unlimited access to families and church meetings  and he delivers fascinating psychological fare . ,19
1,a movie that will wear you out and make you misty even when you don't want to be . ,19
0,the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break . ,19
0,a respectable but uninspired thriller that's intelligent and considered in its details  but ultimately weak in its impact . ,19
0,it's clear why deuces wild  which was shot two years ago  has been gathering dust on mgm's shelf . ,19
1,a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis . ,19
0,it's hard not to feel you've just watched a feature-length video game with some really heavy back story . ,19
0,a shoddy male hip hop fantasy filled with guns  expensive cars  lots of naked women and rocawear clothing . ,19
0,intended to be a comedy about relationships  this wretched work falls flat in just about every conceivable area . ,19
0,this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated . ,19
1,it's a nicely detailed world of pawns bishops and kings of wagers in dingy backrooms or pristine forests . ,19
0,the movie is silly beyond comprehension  and even if it weren't silly  it would still be beyond comprehension . ,19
0,"the premise of "" abandon "" holds promise  . . . but its delivery is a complete mess . ",19
0, if the predictability of bland comfort food appeals to you  then the film is a pleasant enough dish . ,19
1,if you like an extreme action-packed film with a hint of humor  then triple x marks the spot . ,19
1,the film's images give a backbone to the company and provide an emotional edge to its ultimate demise . ,19
0,schneidermeister . . . makin' a fool of himself . . . losin' his fan base . . . ,19
0,a puppy dog so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks . ,19
1,the attraction between these two marginal characters is complex from the start -- and  refreshingly  stays that way . ,19
1,take care is nicely performed by a quintet of actresses  but nonetheless it drags during its 112-minute length . ,19
1,murderous maids may well be the most comprehensive of these films and also strike closest to the truth . ,19
1,don't wait to see this terrific film with your kids -- if you don't have kids borrow some . ,19
1,that the film opens with maggots crawling on a dead dog is not an out of place metaphor . ,19
1,this rich  bittersweet israeli documentary  about the life of song-and-dance-man pasach'ke burstein and his family  transcends ethnic lines . ,19
0,those of you who are not an eighth grade girl will most likely doze off during this one . ,19
0,earnest falls short of its ideal predecessor largely due to parker's ill-advised meddling with the timeless source material . ,19
1,probes in a light-hearted way the romantic problems of individuals for whom the yearning for passion spells discontent . ,19
0,i could just feel the screenwriter at every moment 'tap  tap  tap  tap  tapping away' on this screenplay . ,19
1,devos and cassel have tremendous chemistry -- their sexual and romantic tension  while never really vocalized  is palpable . ,19
